token,symbol,name
10321,PKTEA-EQ,PKTEA
10415,MUTHOOTCAP-EQ,MUTHOOTCAP
10473,POWERMECH-EQ,POWERMECH
10485,RAMRAT-EQ,RAMRAT
10557,NAVKARCORP-EQ,NAVKARCORP
10577,KRBL-EQ,KRBL
10693,MOMENTUM-EQ,MOMENTUM
1076,ZENSARTECH-EQ,ZENSARTECH
10717,TEAMGTY-EQ,TEAMGTY
10791,NUCLEUS-EQ,NUCLEUS
10825,MOVALUE-EQ,MOVALUE
10948,STCINDIA-EQ,STCINDIA
11060,KSOLVES-EQ,KSOLVES
11065,NATHBIOGEN-EQ,NATHBIOGEN
11226,BAGFILMS-EQ,BAGFILMS
11236,JSL-EQ,JSL
11233,SUVEN-EQ,SUVEN
11309,BALAXI-EQ,BALAXI
11325,MUKANDLTD-EQ,MUKANDLTD
11403,POONAWALLA-EQ,POONAWALLA
11441,LICNETFSEN-EQ,LICNETFSEN
1162,GTL-EQ,GTL
11593,HDFCSENSEX-EQ,HDFCSENSEX
11647,KOTARISUG-EQ,KOTARISUG
11667,DWARKESH-EQ,DWARKESH
11689,SUPRAJIT-EQ,SUPRAJIT
11821,WELCORP-EQ,WELCORP
11841,KENNAMET-EQ,KENNAMET
11860,JKPAPER-EQ,JKPAPER
11895,DCXINDIA-EQ,DCXINDIA
11932,FUSION-EQ,FUSION
1270,AMBUJACEM-EQ,AMBUJACEM
12716,TEAMLEASE-EQ,TEAMLEASE
12749,DJML-EQ,DJML
13111,ORIENTCER-EQ,ORIENTCER
1313,HARRMALAYA-EQ,HARRMALAYA
13198,COMMOIETF-EQ,COMMOIETF
13305,CENTURYPLY-EQ,CENTURYPLY
1336,HEG-EQ,HEG
1348,HEROMOTOCO-EQ,HEROMOTOCO
13510,AKASH-EQ,AKASH
13557,AVONMORE-EQ,AVONMORE
13585,ATLANTAA-EQ,ATLANTAA
13587,ACE-EQ,ACE
13620,ANANTRAJ-EQ,ANANTRAJ
1363,HINDALCO-EQ,HINDALCO
13631,SKYGOLD-EQ,SKYGOLD
13689,AERONEU-EQ,AERONEU
13794,BAIDFIN-EQ,BAIDFIN
13875,JINDRILL-EQ,JINDRILL
13950,LIQUID1-EQ,LIQUID1
13987,ABSLBANETF-EQ,ABSLBANETF
14003,ZEEMEDIA-EQ,ZEEMEDIA
14086,IGPL-EQ,IGPL
1412,AGI-EQ,AGI
14218,CTE-EQ,CTE
14286,GOLDETF-EQ,GOLDETF
14385,POCL-EQ,POCL
14398,AMDIND-EQ,AMDIND
1448,HLVLTD-EQ,HLVLTD
14490,NCLIND-EQ,NCLIND
14755,041NSETEST-EQ,041NSETEST
14767,081NSETEST-EQ,081NSETEST
14777,121NSETEST-EQ,121NSETEST
14992,CCCL-EQ,CCCL
1507,MOGSEC-EQ,MOGSEC
15044,DELTACORP-EQ,DELTACORP
15058,AVALON-EQ,AVALON
1515,INDIACEM-EQ,INDIACEM
15184,BRIGADE-EQ,BRIGADE
15283,KNRCON-EQ,KNRCON
15347,GSS-EQ,GSS
15409,NESCO-EQ,NESCO
15420,ACL-EQ,ACL
15716,PIGL-EQ,PIGL
1597,INGERRAND-EQ,INGERRAND
