symbol,token,ltp,bid_qty,ask_qty
MOMENTUM-EQ,10693,31.45,1303738,1206393
IDFCFIRSTB-EQ,11184,84.77,1850034,3834702
UNIONBANK-EQ,10753,182.62,1501525,2691660
HDFCMOMENT-EQ,11538,31.28,1619218,1130108
MAHABANK-EQ,11377,78.1,1266446,2993194
CENTRALBK-EQ,14894,31.3,1302484,3304654
PSUBNKBEES-EQ,15032,97.4,1011684,1249153
ADANIPOWER-EQ,17388,210.04,1340375,3097533
NHPC-EQ,17400,77.03,1817618,2801353
ITBEES-EQ,19084,35.08,4858791,7526387
SUZLON-EQ,12018,48.4,6141757,10455832
IRFC-EQ,2029,88.87,1246212,3212663
GMRAIRPORT-EQ,13528,106.92,1566312,1661351
IREDA-EQ,20261,119.8,1234284,1419447
PAISALO-EQ,25468,68.64,1718243,2354854
PTC-EQ,11355,202.72,1267672,1524023
CANBK-EQ,10794,131.56,2049327,6986796
ITIETF-EQ,22365,35.13,1574445,1713277
FMCGIETF-EQ,5306,53.0,1083682,1344950
GOLDBEES-EQ,14428,123.03,3072437,2273133
POWERGRID-EQ,14977,269.9,1020331,1337618
RBA-EQ,1494,94.07,1305708,1764114
NEXT50IETF-EQ,4529,78.68,1086958,1579346
ICICIB22-EQ,522,117.18,1255763,1091344
ZEEL-EQ,3812,93.75,1808769,4666415
IT-EQ,2627,35.04,1358643,1432404
ONGC-EQ,2475,237.68,1063324,1782627
GROWWLIQID-EQ,25447,110.27,8475535,8463750
HFCL-EQ,21951,209.75,1164647,2069441
CHEMICAL-EQ,759885,30.76,1299905,1498718
PRSMJOHNSN-EQ,2739,116.88,1807408,2391994
MOCAPITAL-EQ,30065,52.4,1409598,1169538
RHETAN-EQ,759062,33.4,7582555,1113043
LICI-EQ,9480,393.55,1633221,4510450
NIFTYBEES-EQ,10576,279.55,1216960,4723175
TATASTEEL-EQ,3499,187.77,1380650,2739034
HDFCNEXT50-EQ,10619,76.17,1026851,1263573
VEDPOWER-EQ,750518,35.62,1611733,4148776
MOM30IETF-EQ,10585,31.54,3142518,1938904
NMDC-EQ,15332,85.1,2389464,3851543
LLOYDSENGG-EQ,17801,95.85,2321378,5167705
MSUMI-EQ,8596,41.25,1000185,3180992
BANKIETF-EQ,11037,59.34,1694958,1610715
EMIL-EQ,11530,154.74,2776112,1145977
UJJIVANSFB-EQ,15228,70.32,2728422,2590672
CUPID-EQ,18520,260.13,15169181,2386733
ASHOKLEY-EQ,212,177.1,1297728,1814033
LIQUIDCASE-EQ,21750,115.39,69123942,65446361
AUTOIETF-EQ,7844,30.69,2255325,2223489
WIPRO-EQ,3787,187.17,1165184,3299841
VOGL-EQ,750368,35.63,3364238,7410842
INOXWIND-EQ,7852,77.56,1370535,1502914
HDFCNIFIT-EQ,12101,33.72,1707117,1207100
FINIETF-EQ,12578,33.22,2261987,1316995
ITC-EQ,1660,285.2,1287283,1991882
JIOFIN-EQ,18143,258.5,1348761,2529169
PNB-EQ,10666,113.9,1807024,2788273
LTGILTBEES-EQ,17700,30.06,3240734,3355340
CROMPTON-EQ,17094,251.75,1398126,1237970
IOC-EQ,1624,142.13,1262439,2193732
OLAELEC-EQ,24777,41.15,1933863,7437529
ETERNAL-EQ,5097,315.2,1244577,2099716
GROWW-EQ,759806,190.53,1366486,2838076
VMM-EQ,27969,108.31,1190213,1551218
VEDL-EQ,3063,275.2,2068487,2264982
TOP10ADD-EQ,25171,89.64,1098409,1107227
MOTHERSON-EQ,4204,168.31,3769766,3292484
ALPHA-EQ,7412,53.54,1166199,1238020
KWIL-EQ,760946,34.91,1296341,3721592
HDFCNIFBAN-EQ,22433,59.45,1905451,1861635
SILVERBEES-EQ,8080,219.95,2074366,2404570
SAGILITY-EQ,27052,43.48,1395154,3748293
NBCC-EQ,31415,95.23,1211476,1950218
VISL-EQ,750290,35.05,1340580,5009601
GAIL-EQ,4717,172.4,1066263,1944924
BHARATCOAL-EQ,760726,34.1,1394421,2100178
